DialogType(0),Name(000),Situation(00),ConditionType(0),ConditionOperator(0),ConditionValue(00),Emotion,NextId,OptionIdList,Ext1,TargetType,TargetOperator,TargetValue,ScheduleType,Korean(ko),English(en)
NORMAL,PRINCESS,COOK,,,,IDLE,0,,COOK,,,,,무슨 요리를 해볼까?,
NORMAL,PRINCESS,COOK,,,,IDLE,0,,COOK,,,,,이번엔 연기 안 나네? 뭔가… 불안한데.,
NORMAL,PRINCESS,COOK,,,,IDLE,0,,COOK,,,,,"아빠, 그건 설탕 아니고 소금이야. 지난번처럼은 안 돼.",
NORMAL,PRINCESS,COOK,,,,IDLE,0,,COOK,,,,,진지한 얼굴은 멋진데… 냄비 뚜껑은 반대로 올렸어.,
NORMAL,PRINCESS,COOK,,,,IDLE,0,,COOK,,,,,"내가 도와줄까? 아니야, 그냥… 보는 게 재밌어서.",
NORMAL,PRINCESS,COOK,,,,IDLE,0,,COOK,,,,,이거… 나한테 해주는 거지? 괜히 설렌다.,
,,,,,,,,,,,,,,,
NORMAL,PRINCESS,GIFT,,,,IDLE,0,,GIFT,,,,,“어… 이게 뭐야? 혹시 나 주는 거야?,
NORMAL,PRINCESS,GIFT,,,,IDLE,0,,GIFT,,,,,"에이, 설마 또 아빠가 무리한 거 아냐?",
NORMAL,PRINCESS,GIFT,,,,IDLE,0,,GIFT,,,,,"진짜? 나, 이런 거 받아도 돼?",
NORMAL,PRINCESS,GIFT,,,,IDLE,0,,GIFT,,,,,혹시… 내 생일도 아닌데?,
NORMAL,PRINCESS,GIFT,,,,IDLE,0,,GIFT,,,,,이상하다… 아빠가 저렇게 웃으면 뭔가 꺼내더라.,
NORMAL,PRINCESS,GIFT,,,,IDLE,0,,GIFT,,,,,우와! 선물이라니!!,
,,,,,,,,,,,,,,,
NORMAL,PRINCESS,GIFT_RECEIVED,,,,IDLE,0,,ACT,,,,,아빠 최고야!!,
NORMAL,PRINCESS,GIFT_RECEIVED,,,,IDLE,0,,ACT,,,,,이거… 혹시 내가 좋아하는 거 기억하고 있었던 거야?,
NORMAL,PRINCESS,GIFT_RECEIVED,,,,IDLE,0,,ACT,,,,,"괜히 울컥하잖아… 아, 바보야 나 진짜…",
NORMAL,PRINCESS,GIFT_RECEIVED,,,,IDLE,0,,ACT,,,,,고마워. 그냥… 말로 다 못 하게 고마워.,
NORMAL,PRINCESS,GIFT_RECEIVED,,,,IDLE,0,,ACT,,,,,다음엔 나도 아빠한테 뭔가 줄 수 있었으면 좋겠다.,
,,,,,,,,,,,,,,,
NORMAL,PRINCESS,FOOD_RECEIVED,,,,IDLE,0,,ACT,,,,,에~ 아빠가 직접 만든거야? 맛있겠다~,
NORMAL,PRINCESS,FOOD_RECEIVED,,,,IDLE,0,,ACT,,,,,이..이거 먹을 수 있는거 맞지...? 아빠가 주니까 먹는거다..?,
